domain,clean_domain
"0940.ton","0940"
"0941.ton","0941"
"0942.ton","0942"
"0943.ton","0943"
"0944.ton","0944"
"0945.ton","0945"
"0946.ton","0946"
"0947.ton","0947"
"0948.ton","0948"
"0949.ton","0949"
"0950.ton","0950"
"0951.ton","0951"
"0952.ton","0952"
"0953.ton","0953"
"0954.ton","0954"
"0955.ton","0955"
"0956.ton","0956"
"0957.ton","0957"
"0958.ton","0958"
"0959.ton","0959"
"0960.ton","0960"
"0961.ton","0961"
"0962.ton","0962"
"0963.ton","0963"
"0964.ton","0964"
"0965.ton","0965"
"0966.ton","0966"
"0967.ton","0967"
"0968.ton","0968"
"0969.ton","0969"
"0970.ton","0970"
"0971.ton","0971"
"0972.ton","0972"
"0973.ton","0973"
"0974.ton","0974"
"0975.ton","0975"
"0976.ton","0976"
"0977.ton","0977"
"0978.ton","0978"
"0979.ton","0979"
"0980.ton","0980"
"0981.ton","0981"
"0982.ton","0982"
"0983.ton","0983"
"0984.ton","0984"
"0985.ton","0985"
"0986.ton","0986"
"0987.ton","0987"
"0988.ton","0988"
"0989.ton","0989"
"0990.ton","0990"
"0991.ton","0991"
"0992.ton","0992"
"0993.ton","0993"
"0994.ton","0994"
"0995.ton","0995"
"0996.ton","0996"
"0997.ton","0997"
"0998.ton","0998"
"0999.ton","0999"
"1000.ton","1000"
"1001.ton","1001"
"1002.ton","1002"
"1003.ton","1003"
"1004.ton","1004"
"1005.ton","1005"
"1006.ton","1006"
"1007.ton","1007"
"1008.ton","1008"
"1009.ton","1009"
"1010.ton","1010"
"1011.ton","1011"
"1012.ton","1012"
"1013.ton","1013"
"1014.ton","1014"
"1015.ton","1015"
"1016.ton","1016"
"1017.ton","1017"
"1018.ton","1018"
"1019.ton","1019"
"1020.ton","1020"
"1021.ton","1021"
"1022.ton","1022"
"1023.ton","1023"
"1024.ton","1024"
"1025.ton","1025"
"1026.ton","1026"
"1027.ton","1027"
"1028.ton","1028"
"1029.ton","1029"
"1030.ton","1030"
"1031.ton","1031"
"1032.ton","1032"
"1033.ton","1033"
"1034.ton","1034"
"1035.ton","1035"
"1036.ton","1036"
"1037.ton","1037"
"1038.ton","1038"
"1039.ton","1039"
"1040.ton","1040"
"1041.ton","1041"
"1042.ton","1042"
"1043.ton","1043"
"1044.ton","1044"
"1045.ton","1045"
"1046.ton","1046"
"1047.ton","1047"
"1048.ton","1048"
"1049.ton","1049"
"1050.ton","1050"
"1051.ton","1051"
"1052.ton","1052"
"1053.ton","1053"
